06:59.30 1998-04-08 9885 DIRECTX/DIRECTX/DRIVERS/CHS/DXCIRRUS.INF
06:59.30 1998-04-08 525 DIRECTX/DIRECTX/DRIVERS/CHS/DXGLINT.INF
06:59.30 1998-04-08 2952 DIRECTX/DIRECTX/DRIVERS/CHS/DXI128.INF
08:45.46 1998-04-15 2511 DIRECTX/DIRECTX/DRIVERS/CHS/DXMGA.INF
06:59.30 1998-04-08 1606 DIRECTX/DIRECTX/DRIVERS/CHS/DXMM3DFX.INF
06:59.30 1998-04-08 2278 DIRECTX/DIRECTX/DRIVERS/CHS/DXNEOM.INF
06:59.30 1998-04-08 6317 DIRECTX/DIRECTX/DRIVERS/CHS/DXPMEDIA.INF
06:59.30 1998-04-08 3759 DIRECTX/DIRECTX/DRIVERS/CHS/DXREND.INF
06:59.30 1998-04-08 17462 DIRECTX/DIRECTX/DRIVERS/CHS/DXS3.INF
06:59.30 1998-04-08 2599 DIRECTX/DIRECTX/DRIVERS/CHS/DXTRID.INF
06:59.30 1998-04-08 6017 DIRECTX/DIRECTX/DRIVERS/CHS/DXTSENG.INF
06:59.30 1998-04-08 3607 DIRECTX/DIRECTX/DRIVERS/CHS/DXWD.INF
06:59.30 1998-04-08 43488 DIRECTX/DIRECTX/DRIVERS/CHS/ES1488.DRV
06:59.30 1998-04-08 20116 DIRECTX/DIRECTX/DRIVERS/CHS/ES1488.VXD
06:59.32 1998-04-08 55719 DIRECTX/DIRECTX/DRIVERS/CHS/ES1688.DRV
06:59.32 1998-04-08 32390 DIRECTX/DIRECTX/DRIVERS/CHS/ES1688.VXD
06:59.32 1998-04-08 56999 DIRECTX/DIRECTX/DRIVERS/CHS/ES1788.DRV
06:59.32 1998-04-08 32390 DIRECTX/DIRECTX/DRIVERS/CHS/ES1788.VXD
06:59.32 1998-04-08 36592 DIRECTX/DIRECTX/DRIVERS/CHS/ES488.DRV
06:59.32 1998-04-08 19603 DIRECTX/DIRECTX/DRIVERS/CHS/ES488.VXD
06:59.32 1998-04-08 46592 DIRECTX/DIRECTX/DRIVERS/CHS/ES688.DRV
06:59.32 1998-04-08 22675 DIRECTX/DIRECTX/DRIVERS/CHS/ES688.VXD
06:59.32 1998-04-08 20295 DIRECTX/DIRECTX/DRIVERS/CHS/ESFM.DRV
06:59.32 1998-04-08 17792 DIRECTX/DIRECTX/DRIVERS/CHS/ESSFM.DRV
06:59.32 1998-04-08 9696 DIRECTX/DIRECTX/DRIVERS/CHS/ESSMPORT.DRV
06:59.32 1998-04-08 9895 DIRECTX/DIRECTX/DRIVERS/CHS/ESSMPU.DRV
06:59.32 1998-04-08 6493 DIRECTX/DIRECTX/DRIVERS/CHS/F3AUDIO.INF
06:59.32 1998-04-08 8839 DIRECTX/DIRECTX/DRIVERS/CHS/F3MIDI.DRV
06:59.34 1998-04-08 47083 DIRECTX/DIRECTX/DRIVERS/CHS/F3WAVMIX.DRV
06:59.34 1998-04-08 4976 DIRECTX/DIRECTX/DRIVERS/CHS/MMMIXER.DLL
06:59.34 1998-04-08 386 DIRECTX/DIRECTX/DRIVERS/CHS/MSDDRAW.INF
06:59.34 1998-04-08 313 DIRECTX/DIRECTX/DRIVERS/CHS/MSDSOUND.INF
06:59.34 1998-04-08 7744 DIRECTX/DIRECTX/DRIVERS/CHS/MSJSTICK.DRV
06:59.34 1998-04-08 8704 DIRECTX/DIRECTX/DRIVERS/CHS/MSMPU401.DRV
06:59.34 1998-04-08 17856 DIRECTX/DIRECTX/DRIVERS/CHS/MSOPL.DRV
06:59.34 1998-04-08 40464 DIRECTX/DIRECTX/DRIVERS/CHS/MSSBLST.DRV
06:59.34 1998-04-08 21158 DIRECTX/DIRECTX/DRIVERS/CHS/MSSBLST.VXD
06:59.34 1998-04-08 40491 DIRECTX/DIRECTX/DRIVERS/CHS/MSSNDSYS.DRV
06:59.34 1998-04-08 31476 DIRECTX/DIRECTX/DRIVERS/CHS/MSSNDSYS.VXD
06:59.34 1998-04-08 37936 DIRECTX/DIRECTX/DRIVERS/CHS/MVI514MX.DRV
06:59.34 1998-04-08 19072 DIRECTX/DIRECTX/DRIVERS/CHS/MVIWAVE.DRV
06:59.34 1998-04-08 59200 DIRECTX/DIRECTX/DRIVERS/CHS/MVMIXER.DRV
06:59.36 1998-04-08 25984 DIRECTX/DIRECTX/DRIVERS/CHS/MVPROAUD.DRV
06:59.36 1998-04-08 52800 DIRECTX/DIRECTX/DRIVERS/CHS/PA3DMXD.DRV
06:59.36 1998-04-08 114245 DIRECTX/DIRECTX/DRIVERS/CHS/SB16.VXD
06:59.36 1998-04-08 28249 DIRECTX/DIRECTX/DRIVERS/CHS/SB16AWE.INF
06:59.36 1998-04-08 74955 DIRECTX/DIRECTX/DRIVERS/CHS/SB16SND.DRV
06:59.36 1998-04-08 78954 DIRECTX/DIRECTX/DRIVERS/CHS/SBAWE.VXD
06:59.36 1998-04-08 31339 DIRECTX/DIRECTX/DRIVERS/CHS/SBAWE32.DRV
06:59.36 1998-04-08 4064 DIRECTX/DIRECTX/DRIVERS/CHS/SBFM.DRV
06:59.38 1998-04-08 18586 DIRECTX/DIRECTX/DRIVERS/CHS/VMVID.VXD
06:59.38 1998-04-08 24162 DIRECTX/DIRECTX/DRIVERS/CHS/VPASD.VXD
06:59.38 1998-04-08 58263 DIRECTX/DIRECTX/DRIVERS/CHS/WAVE.INF
06:59.42 1998-04-08 26770 DIRECTX/DIRECTX/DRIVERS/CHT/AZT16.VXD
06:59.42 1998-04-08 41488 DIRECTX/DIRECTX/DRIVERS/CHT/AZT16C.DRV
06:59.42 1998-04-08 43040 DIRECTX/DIRECTX/DRIVERS/CHT/AZT16W.DRV
06:59.42 1998-04-08 227499 DIRECTX/DIRECTX/DRIVERS/CHT/CWBAUDIO.DRV
20:19.42 1998-06-29 27907 DIRECTX/DIRECTX/DRIVERS/CHT/CWBAUDIO.INF
06:59.42 1998-04-08 14513 DIRECTX/DIRECTX/DRIVERS/CHT/CWBMIDI.VXD
06:59.02 1998-11-20 19409 DIRECTX/DIRECTX/DRIVERS/CHT/DRIVERS.DDB
06:59.42 1998-04-08 9850 DIRECTX/DIRECTX/DRIVERS/CHT/DXATI.INF
06:59.44 1998-04-08 5346 DIRECTX/DIRECTX/DRIVERS/CHT/DXCHIPS.INF
06:59.44 1998-04-08 9885 DIRECTX/DIRECTX/DRIVERS/CHT/DXCIRRUS.INF
06:59.44 1998-04-08 522 DIRECTX/DIRECTX/DRIVERS/CHT/DXGLINT.INF
06:59.44 1998-04-08 2952 DIRECTX/DIRECTX/DRIVERS/CHT/DXI128.INF
08:45.50 1998-04-15 2511 DIRECTX/DIRECTX/DRIVERS/CHT/DXMGA.INF
06:59.44 1998-04-08 1606 DIRECTX/DIRECTX/DRIVERS/CHT/DXMM3DFX.INF
06:59.44 1998-04-08 2278 DIRECTX/DIRECTX/DRIVERS/CHT/DXNEOM.INF
06:59.44 1998-04-08 6317 DIRECTX/DIRECTX/DRIVERS/CHT/DXPMEDIA.INF
06:59.44 1998-04-08 3759 DIRECTX/DIRECTX/DRIVERS/CHT/DXREND.INF
06:59.44 1998-04-08 17462 DIRECTX/DIRECTX/DRIVERS/CHT/DXS3.INF
06:59.44 1998-04-08 2599 DIRECTX/DIRECTX/DRIVERS/CHT/DXTRID.INF
06:59.44 1998-04-08 6017 DIRECTX/DIRECTX/DRIVERS/CHT/DXTSENG.INF
06:59.44 1998-04-08 3607 DIRECTX/DIRECTX/DRIVERS/CHT/DXWD.INF
04:38.32 1998-05-13 43936 DIRECTX/DIRECTX/DRIVERS/CHT/ES1488.DRV
06:59.44 1998-04-08 20116 DIRECTX/DIRECTX/DRIVERS/CHT/ES1488.VXD
06:59.44 1998-04-08 55751 DIRECTX/DIRECTX/DRIVERS/CHT/ES1688.DRV
06:59.44 1998-04-08 32386 DIRECTX/DIRECTX/DRIVERS/CHT/ES1688.VXD
06:59.46 1998-04-08 57047 DIRECTX/DIRECTX/DRIVERS/CHT/ES1788.DRV
06:59.46 1998-04-08 32386 DIRECTX/DIRECTX/DRIVERS/CHT/ES1788.VXD
06:59.46 1998-04-08 36976 DIRECTX/DIRECTX/DRIVERS/CHT/ES488.DRV
06:59.46 1998-04-08 19603 DIRECTX/DIRECTX/DRIVERS/CHT/ES488.VXD
06:59.46 1998-04-08 47008 DIRECTX/DIRECTX/DRIVERS/CHT/ES688.DRV
06:59.46 1998-04-08 22675 DIRECTX/DIRECTX/DRIVERS/CHT/ES688.VXD
06:59.46 1998-04-08 20311 DIRECTX/DIRECTX/DRIVERS/CHT/ESFM.DRV
06:59.46 1998-04-08 17920 DIRECTX/DIRECTX/DRIVERS/CHT/ESSFM.DRV
