18:55.06 1996-10-11 67 autorun.inf
08:01.00 1998-04-08 7744 directx/directx/drivers/eng/msjstick.drv
08:01.00 1998-04-08 8704 directx/directx/drivers/eng/msmpu401.drv
08:00.56 1998-04-08 42624 directx/directx/drivers/eng/i128.drv
08:00.56 1998-04-08 14972 directx/directx/drivers/eng/i128.vxd
08:00.56 1998-04-08 6064 directx/directx/drivers/eng/isna.dll
08:00.56 1998-04-08 1315 directx/directx/drivers/eng/license.txt
08:00.58 1998-04-08 96304 directx/directx/drivers/eng/mgallx64.dll
08:00.58 1998-04-08 125984 directx/directx/drivers/eng/mgapdx64.drv
08:00.58 1998-04-08 31798 directx/directx/drivers/eng/mgapdx64.vxd
08:00.58 1998-04-08 21532 directx/directx/drivers/eng/mgaxdd.drv
08:01.02 1998-04-08 8898 directx/directx/drivers/eng/mvpas.vxd
08:01.02 1998-04-08 26128 directx/directx/drivers/eng/mvproaud.drv
08:01.02 1998-04-08 15360 directx/directx/drivers/eng/neom.dll
08:00.58 1998-04-08 225792 directx/directx/drivers/eng/mgaxdd32.dll
08:00.58 1998-04-08 12592 directx/directx/drivers/eng/mm3dfx.drv
08:00.58 1998-04-08 6077 directx/directx/drivers/eng/mm3dfx.vxd
08:01.00 1998-04-08 4816 directx/directx/drivers/eng/mm3dfx16.dll
08:01.00 1998-04-08 220672 directx/directx/drivers/eng/mm3dfx32.dll
08:01.00 1998-04-08 5152 directx/directx/drivers/eng/mmmixer.dll
08:01.00 1998-04-08 12101 directx/directx/drivers/eng/msanalog.vxd
08:01.00 1998-04-08 386 directx/directx/drivers/eng/msddraw.inf
08:00.44 1998-04-08 23040 directx/directx/drivers/eng/cirrus.dll
08:00.42 1998-04-08 10752 directx/directx/drivers/eng/atim32.dll
08:00.42 1998-04-08 99184 directx/directx/drivers/eng/atim32.drv
08:00.42 1998-04-08 18432 directx/directx/drivers/eng/atim64.dll
08:00.44 1998-04-08 84992 directx/directx/drivers/eng/atim64.drv
08:00.46 1998-04-08 16549 directx/directx/drivers/eng/cirruslg.vxd
08:00.56 1998-04-08 3520 directx/directx/drivers/eng/iss3_765.dll
08:01.02 1998-04-08 38432 directx/directx/drivers/eng/mvi514mx.drv
08:01.02 1998-04-08 19760 directx/directx/drivers/eng/mviwave.drv
08:01.02 1998-04-08 59568 directx/directx/drivers/eng/mvmixer.drv
08:00.48 1998-04-08 18576 directx/directx/drivers/eng/cspman.dll
08:00.42 1998-04-08 18944 directx/directx/drivers/eng/ati_vpe.dll
08:00.44 1998-04-08 26770 directx/directx/drivers/eng/azt16.vxd
08:00.44 1998-04-08 42080 directx/directx/drivers/eng/azt16c.drv
08:00.44 1998-04-08 43664 directx/directx/drivers/eng/azt16w.drv
08:00.44 1998-04-08 13824 directx/directx/drivers/eng/chipmm.dll
08:00.44 1998-04-08 53984 directx/directx/drivers/eng/chipmm.drv
08:00.44 1998-04-08 24672 directx/directx/drivers/eng/chipmm.vxd
08:00.44 1998-04-08 9216 directx/directx/drivers/eng/chips.dll
08:00.44 1998-04-08 29280 directx/directx/drivers/eng/chips.drv
08:00.44 1998-04-08 18591 directx/directx/drivers/eng/chips.vxd
08:00.50 1998-04-08 14513 directx/directx/drivers/eng/cwbmidi.vxd
08:00.50 1998-04-08 38912 directx/directx/drivers/eng/cwbpcple.dll
19:36.56 1998-06-28 18832 directx/directx/drivers/eng/drivers.ddb
08:00.46 1998-04-08 70704 directx/directx/drivers/eng/cirrus.drv
08:00.46 1998-04-08 18477 directx/directx/drivers/eng/cirrus.vxd
08:00.46 1998-04-08 24576 directx/directx/drivers/eng/cirruslg.dll
08:00.46 1998-04-08 199568 directx/directx/drivers/eng/cirruslg.drv
08:00.46 1998-04-08 46592 directx/directx/drivers/eng/cirrusmm.dll
08:00.46 1998-04-08 77584 directx/directx/drivers/eng/cirrusmm.drv
08:00.48 1998-04-08 402432 directx/directx/drivers/eng/cld3d.dll
08:00.48 1998-04-08 3552 directx/directx/drivers/eng/cpq_bb.dll
08:00.40 1998-04-08 169472 directx/directx/drivers/eng/ati_d3d.dll
08:00.40 1998-04-08 10960 directx/directx/drivers/eng/ati_dd16.dll
08:00.40 1998-04-08 335360 directx/directx/drivers/eng/ati_dd32.dll
08:00.42 1998-04-08 85440 directx/directx/drivers/eng/ati_hal.dll
08:00.42 1998-04-08 325696 directx/directx/drivers/eng/ati_m64.drv
08:00.42 1998-04-08 29827 directx/directx/drivers/eng/ati_m64.vxd
08:00.48 1998-04-08 101399 directx/directx/drivers/eng/cwbaudix.vxd
08:00.48 1998-04-08 21152 directx/directx/drivers/eng/cwbfm.drv
08:00.50 1998-04-08 8124 directx/directx/drivers/eng/cwbjoy.vxd
08:00.50 1998-04-08 9152 directx/directx/drivers/eng/cwbmidi.drv
18:00.06 1998-07-29 63248 directx/directx/dsetup16.dll
18:00.06 1998-07-29 51712 directx/directx/dsetup32.dll
18:00.06 1998-07-29 29968 directx/directx/dplaysvr.exe
18:00.06 1998-07-29 214288 directx/directx/dplayx.dll
18:00.06 1998-07-29 71952 directx/directx/dpmodemx.dll
17:00.06 1997-07-14 41472 directx/directx/dpserial.dll
08:09.12 1998-01-08 271632 directx/directx/msvcrt.dll
18:00.06 1998-07-29 13330 directx/directx/dijoybrz.hlp
18:00.06 1998-07-29 12778 directx/directx/dijoychs.hlp
18:00.06 1998-07-29 19401 directx/directx/dijoycht.hlp
18:00.06 1998-07-29 13511 directx/directx/dijoycze.hlp
18:00.06 1998-07-29 13424 directx/directx/dijoynec.hlp
18:00.06 1998-07-29 133904 directx/directx/dsound.dll
18:00.06 1998-07-29 815 directx/directx/dsound.inf
18:00.06 1998-07-29 64443 directx/directx/dsound.vxd
18:00.06 1998-07-29 10301 directx/directx/dx6migr.inf
18:00.06 1998-07-29 1315 directx/directx/license.txt
17:00.06 1997-07-14 12101 directx/directx/msanalog.vxd
18:00.06 1998-07-29 63760 directx/directx/dpwsockx.dll
18:00.06 1998-07-29 127488 directx/directx/dsetup.dll
18:00.06 1998-07-29 1124 directx/directx/dsetup.inf
18:00.06 1998-07-29 13795 directx/directx/dplay.inf
17:00.00 1997-07-14 1549 directx/directx/dplaydx2.inf
18:00.06 1998-07-29 13778 directx/directx/dijoypol.hlp
18:00.06 1998-07-29 13812 directx/directx/dijoyrus.hlp
18:00.06 1998-07-29 13618 directx/directx/dijoyspa.hlp
18:00.06 1998-07-29 13343 directx/directx/dijoyswe.hlp
17:00.06 1997-07-14 24064 directx/directx/dpwsock.dll
18:00.06 1998-07-29 13678 directx/directx/dijoyger.hlp
18:00.06 1998-07-29 13493 directx/directx/dijoyitn.hlp
18:00.06 1998-07-29 13424 directx/directx/dijoyjpn.hlp
18:00.06 1998-07-29 13647 directx/directx/dijoykor.hlp
18:00.06 1998-07-29 6656 directx/directx/devnode2.dll
17:00.06 1997-07-14 16339 directx/directx/dijoy.hlp
18:00.06 1998-07-29 216 directx/directx/mtrr.inf
17:00.00 1997-07-14 12009 directx/directx/mtrr.vxd
17:00.00 1997-07-14 30320 directx/directx/vjoyd.vxd
17:00.00 1997-07-14 18602 directx/directx/vmcpd.nec
18:00.06 1998-07-29 2384 directx/directx/dxapi.sys
18:00.06 1998-07-29 461 directx/directx/dxdiag.cnt
17:00.06 1997-07-14 16986 directx/directx/dinput.vxd
18:00.06 1998-07-29 4383 directx/directx/directx.inf
17:00.06 1997-07-14 39936 directx/directx/dplay.dll
18:00.06 1998-07-29 286480 directx/directx/dxdiag.exe
18:00.06 1998-07-29 15301 directx/directx/dxdiag.hlp
18:00.06 1998-07-29 309760 directx/directx/dxinfo.exe
18:00.06 1998-07-29 4672 directx/directx/dxmigr.dll
18:00.06 1998-07-29 86528 directx/directx/dxsetup.exe
17:00.06 1997-07-14 175616 directx/directx/dinput.dll
18:00.06 1998-07-29 13301 directx/directx/dinput.inf
18:00.06 1998-07-29 27984 directx/directx/ddraw16.dll
18:00.06 1998-07-29 24848 directx/directx/ddrawex.dll
18:00.06 1998-07-29 17408 directx/directx/devnode1.dll
18:56.58 1996-10-31 1742576 heroes2/anim/choose.smk
21:39.38 1996-10-29 22972 heroes2/anim/choosew.smk
21:44.58 1996-11-01 332036 heroes2/anim/credits.smk
17:18.32 1997-04-10 775348 heroes2/anim/cybcreds.smk
17:14.10 1997-04-10 1035564 heroes2/anim/defeat.smk
